year,district,crime_category,primary_type,neighborhood,count
2006,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,4986
2006,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5159
2006,5,Violent Crimes,BATTERY,Burnside / Pullman,4374
2006,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5203
2006,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,6785
2006,8,Property Crimes,THEFT,Archer Heights / Ashburn,5854
2006,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4129
2006,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3726
2006,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,8255
2006,12,Property Crimes,THEFT,East Village / Garfield Park,2995
2006,13,Property Crimes,THEFT,East Village / Garfield Park,2832
2006,14,Property Crimes,THEFT,Avondale / Bucktown,4354
2006,15,Drug Offenses,NARCOTICS,Austin,6457
2006,16,Property Crimes,THEFT,Dunning / Edison Park,3322
2006,17,Property Crimes,THEFT,Albany Park / Avondale,2973
2006,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,6698
2006,19,Property Crimes,THEFT,Lake View / Lincoln Park,3255
2006,20,Property Crimes,THEFT,Andersonville / Edgewater,2059
2006,21,Property Crimes,THEFT,Chinatown / Douglas,2310
2006,22,Violent Crimes,BATTERY,Auburn Gresham / Beverly,2738
2006,23,Property Crimes,THEFT,Boystown / Lake View,2455
2006,24,Property Crimes,THEFT,Edgewater / Rogers Park,3344
2006,25,Property Crimes,THEFT,Austin / Avondale,4391
2007,1,Property Crimes,THEFT,Douglas / Loop,6107
2007,2,Violent Crimes,BATTERY,Douglas / Englewood,2644
2007,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,4979
2007,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5252
2007,5,Violent Crimes,BATTERY,Burnside / Pullman,4371
2007,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5388
2007,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,6740
2007,8,Property Crimes,THEFT,Archer Heights / Ashburn,5710
2007,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,3978
2007,10,Violent Crimes,BATTERY,Little Village / Lower West Side,3785
2007,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,7407
2007,12,Property Crimes,THEFT,East Village / Garfield Park,2859
2007,13,Property Crimes,THEFT,East Village / Garfield Park,2775
2007,14,Property Crimes,THEFT,Avondale / Bucktown,4333
2007,15,Drug Offenses,NARCOTICS,Austin,6413
2007,16,Property Crimes,THEFT,Dunning / Edison Park,3189
2007,17,Property Crimes,THEFT,Albany Park / Avondale,2653
