day_of_week,district,neighborhood,specific_count,crime_category,total_count,crime_rate
Tuesday,20,Andersonville / Edgewater,1422,White Collar Crimes,57027,0.024935556841496134
Tuesday,21,Chinatown / Douglas,626,White Collar Crimes,57027,0.010977256387325302
Tuesday,22,Auburn Gresham / Beverly,2205,White Collar Crimes,57027,0.03866589510231996
Tuesday,23,Boystown / Lake View,978,White Collar Crimes,57027,0.017149771161028986
Tuesday,24,Edgewater / Rogers Park,2034,White Collar Crimes,57027,0.03566731548214004
Tuesday,25,Austin / Avondale,2857,White Collar Crimes,57027,0.05009907587633928
Wednesday,1,Douglas / Loop,5080,White Collar Crimes,56769,0.0894854586129754
Wednesday,2,Douglas / Englewood,1892,White Collar Crimes,56769,0.033328048759005795
Wednesday,3,Grand Crossing / Jackson Park,2059,White Collar Crimes,56769,0.03626979513466857
Wednesday,4,Avalon Park / Burnside,2558,White Collar Crimes,56769,0.04505980376613997
Wednesday,5,Burnside / Pullman,1546,White Collar Crimes,56769,0.02723317303457873
Wednesday,6,Auburn Gresham / Chatham,3084,White Collar Crimes,56769,0.054325424087089784
Wednesday,7,Englewood / Grand Crossing,1804,White Collar Crimes,56769,0.03177790695626134
Wednesday,8,Archer Heights / Ashburn,3851,White Collar Crimes,56769,0.06783631911782839
Wednesday,9,Armour Square / Bridgeport,2080,White Collar Crimes,56769,0.036639715337596225
Wednesday,10,Little Village / Lower West Side,1375,White Collar Crimes,56769,0.024220965667882118
Wednesday,11,Austin / Garfield Park,2117,White Collar Crimes,56769,0.03729147950465923
Wednesday,12,East Village / Garfield Park,2367,White Collar Crimes,56769,0.04169529144427416
Wednesday,13,East Village / Garfield Park,509,White Collar Crimes,56769,0.008966161109055999
Wednesday,14,Avondale / Bucktown,2024,White Collar Crimes,56769,0.035653261463122476
Wednesday,15,Austin,1305,White Collar Crimes,56769,0.022987898324789938
Wednesday,16,Dunning / Edison Park,3051,White Collar Crimes,56769,0.053744120911060615
Wednesday,17,Albany Park / Avondale,1772,White Collar Crimes,56769,0.03121421902799063
Wednesday,18,Lincoln Park / Magnificent Mile,4856,White Collar Crimes,56769,0.08553964311508042
Wednesday,19,Lake View / Lincoln Park,3330,White Collar Crimes,56769,0.05865877503567088
Wednesday,20,Andersonville / Edgewater,1375,White Collar Crimes,56769,0.024220965667882118
Wednesday,21,Chinatown / Douglas,665,White Collar Crimes,56769,0.011714139759375715
Wednesday,22,Auburn Gresham / Beverly,2169,White Collar Crimes,56769,0.038207472388099135
Wednesday,23,Boystown / Lake View,1048,White Collar Crimes,56769,0.01846077965086579
Wednesday,24,Edgewater / Rogers Park,2073,White Collar Crimes,56769,0.036516408603287004
Wednesday,25,Austin / Avondale,2779,White Collar Crimes,56769,0.04895277352075957
Friday,1,Douglas / Loop,1524,Drug Offenses,117016,0.013023859984959321
Friday,2,Douglas / Englewood,4467,Drug Offenses,117016,0.03817426676693785
Friday,3,Grand Crossing / Jackson Park,5506,Drug Offenses,117016,0.04705339440760238
Friday,4,Avalon Park / Burnside,5523,Drug Offenses,117016,0.047198673685649825
Friday,5,Burnside / Pullman,4931,Drug Offenses,117016,0.04213953647364463
Friday,6,Auburn Gresham / Chatham,6181,Drug Offenses,117016,0.05282183633007452
Friday,7,Englewood / Grand Crossing,8229,Drug Offenses,117016,0.07032371641484925
Friday,8,Archer Heights / Ashburn,5445,Drug Offenses,117016,0.0465320981746086
Friday,9,Armour Square / Bridgeport,5414,Drug Offenses,117016,0.04626717713816914
Friday,10,Little Village / Lower West Side,7779,Drug Offenses,117016,0.0664780884665345
Friday,11,Austin / Garfield Park,20328,Drug Offenses,117016,0.17371983318520545
Friday,12,East Village / Garfield Park,2207,Drug Offenses,117016,0.018860668626512613
Friday,13,East Village / Garfield Park,1667,Drug Offenses,117016,0.014245915088534901
Friday,14,Avondale / Bucktown,2551,Drug Offenses,117016,0.02180043754700212
Friday,15,Austin,12876,Drug Offenses,117016,0.11003623436111301
Friday,16,Dunning / Edison Park,1788,Drug Offenses,117016,0.015279961714637314
Friday,17,Albany Park / Avondale,1630,Drug Offenses,117016,0.013929719012784576
Friday,18,Lincoln Park / Magnificent Mile,2119,Drug Offenses,117016,0.01810863471661995
Friday,19,Lake View / Lincoln Park,1153,Drug Offenses,117016,0.00985335338757093
Friday,20,Andersonville / Edgewater,1413,Drug Offenses,117016,0.012075271757708348
