dayofweek,beat,district,primary_type,count,average
Friday,0211,02,MOTOR VEHICLE THEFT,192,0.02244563946691606
Friday,0211,02,NARCOTICS,786,0.09188683656768763
Friday,0211,02,OFFENSE INVOLVING CHILDREN,18,0.002104278700023381
Friday,0211,02,OTHER OFFENSE,188,0.02197802197802198
Friday,0211,02,PROSTITUTION,2,0.00023380874444704232
Friday,0211,02,PUBLIC PEACE VIOLATION,16,0.0018704699555763386
Friday,0211,02,ROBBERY,192,0.02244563946691606
Friday,0211,02,SEX OFFENSE,13,0.001519756838905775
Friday,0211,02,STALKING,4,0.00046761748889408465
Friday,0211,02,THEFT,816,0.09539396773439326
Friday,0211,02,WEAPONS VIOLATION,45,0.0052606967500584524
Friday,0212,02,ARSON,3,0.00035071311667056346
Friday,0212,02,ASSAULT,340,0.03974748655599719
Friday,0212,02,BATTERY,896,0.10474631751227496
Friday,0212,02,BURGLARY,113,0.013210194061257891
Friday,0212,02,CONCEALED CARRY LICENSE VIOLATION,1,0.00011690437222352116
Friday,0212,02,CRIM SEXUAL ASSAULT,17,0.00198737432779986
Friday,0212,02,CRIMINAL DAMAGE,348,0.04068272153378536
Friday,0212,02,CRIMINAL SEXUAL ASSAULT,4,0.00046761748889408465
Friday,0212,02,CRIMINAL TRESPASS,277,0.03238251110591536
Friday,0212,02,DECEPTIVE PRACTICE,177,0.020692073883563245
Friday,0212,02,GAMBLING,9,0.0010521393500116905
Friday,0212,02,HOMICIDE,5,0.0005845218611176058
Friday,0212,02,INTERFERENCE WITH PUBLIC OFFICER,5,0.0005845218611176058
Friday,0212,02,KIDNAPPING,1,0.00011690437222352116
Friday,0212,02,LIQUOR LAW VIOLATION,1,0.00011690437222352116
Friday,0212,02,MOTOR VEHICLE THEFT,170,0.019873743277998596
Friday,0212,02,NARCOTICS,716,0.08370353051204114
Friday,0212,02,OFFENSE INVOLVING CHILDREN,35,0.004091653027823241
Friday,0212,02,OTHER OFFENSE,258,0.030161328033668458
Friday,0212,02,PUBLIC PEACE VIOLATION,17,0.00198737432779986
Friday,0212,02,ROBBERY,126,0.014729950900163666
Friday,0212,02,SEX OFFENSE,11,0.0012859480944587328
Friday,0212,02,STALKING,4,0.00046761748889408465
Friday,0212,02,THEFT,545,0.06371288286181903
Friday,0212,02,WEAPONS VIOLATION,57,0.0066635492167407065
Friday,0213,02,ARSON,4,0.00046761748889408465
Friday,0213,02,ASSAULT,257,0.030044423661444938
Friday,0213,02,BATTERY,594,0.06944119710077157
Friday,0213,02,BURGLARY,144,0.01683422960018705
Friday,0213,02,CRIM SEXUAL ASSAULT,10,0.0011690437222352116
Friday,0213,02,CRIMINAL DAMAGE,370,0.04325461772270283
Friday,0213,02,CRIMINAL SEXUAL ASSAULT,10,0.0011690437222352116
Friday,0213,02,CRIMINAL TRESPASS,93,0.010872106616787468
Friday,0213,02,DECEPTIVE PRACTICE,158,0.018470890811316344
Friday,0213,02,GAMBLING,5,0.0005845218611176058
Friday,0213,02,HOMICIDE,11,0.0012859480944587328
Friday,0213,02,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,0213,02,INTERFERENCE WITH PUBLIC OFFICER,8,0.0009352349777881693
Friday,0213,02,INTIMIDATION,1,0.00011690437222352116
Friday,0213,02,LIQUOR LAW VIOLATION,3,0.00035071311667056346
Friday,0213,02,MOTOR VEHICLE THEFT,173,0.02022445639466916
Friday,0213,02,NARCOTICS,230,0.026888005611409867
Friday,0213,02,NON - CRIMINAL,1,0.00011690437222352116
Friday,0213,02,NON-CRIMINAL,1,0.00011690437222352116
Friday,0213,02,OBSCENITY,1,0.00011690437222352116
Friday,0213,02,OFFENSE INVOLVING CHILDREN,16,0.0018704699555763386
Friday,0213,02,OTHER OFFENSE,270,0.031564180500350716
Friday,0213,02,PROSTITUTION,13,0.001519756838905775
Friday,0213,02,PUBLIC PEACE VIOLATION,17,0.00198737432779986
Friday,0213,02,RITUALISM,1,0.00011690437222352116
Friday,0213,02,ROBBERY,135,0.015782090250175358
Friday,0213,02,SEX OFFENSE,11,0.0012859480944587328
Friday,0213,02,STALKING,3,0.00035071311667056346
Friday,0213,02,THEFT,591,0.069090483984101
Friday,0213,02,WEAPONS VIOLATION,45,0.0052606967500584524
Friday,0214,02,ARSON,3,0.00035071311667056346
Friday,0214,02,ASSAULT,205,0.023965396305821837
Friday,0214,02,BATTERY,508,0.059387421089548746
Friday,0214,02,BURGLARY,123,0.014379237783493103
Friday,0214,02,CRIM SEXUAL ASSAULT,10,0.0011690437222352116
Friday,0214,02,CRIMINAL DAMAGE,320,0.03740939911152677
Friday,0214,02,CRIMINAL SEXUAL ASSAULT,3,0.00035071311667056346
Friday,0214,02,CRIMINAL TRESPASS,105,0.012274959083469721
Friday,0214,02,DECEPTIVE PRACTICE,146,0.01706803834463409
Friday,0214,02,GAMBLING,6,0.0007014262333411269
Friday,0214,02,HOMICIDE,3,0.00035071311667056346
Friday,0214,02,INTERFERENCE WITH PUBLIC OFFICER,4,0.00046761748889408465
Friday,0214,02,INTIMIDATION,2,0.00023380874444704232
Friday,0214,02,KIDNAPPING,1,0.00011690437222352116
Friday,0214,02,LIQUOR LAW VIOLATION,3,0.00035071311667056346
Friday,0214,02,MOTOR VEHICLE THEFT,158,0.018470890811316344
Friday,0214,02,NARCOTICS,292,0.03413607668926818
Friday,0214,02,OBSCENITY,1,0.00011690437222352116
Friday,0214,02,OFFENSE INVOLVING CHILDREN,18,0.002104278700023381
Friday,0214,02,OTHER OFFENSE,162,0.01893850830021043
Friday,0214,02,PROSTITUTION,48,0.005611409866729015
Friday,0214,02,PUBLIC PEACE VIOLATION,12,0.0014028524666822538
Friday,0214,02,ROBBERY,95,0.01110591536123451
Friday,0214,02,SEX OFFENSE,15,0.0017535655833528173
Friday,0214,02,STALKING,4,0.00046761748889408465
Friday,0214,02,THEFT,497,0.05810147299509002
Friday,0214,02,WEAPONS VIOLATION,33,0.0038578442833761984
Friday,0215,02,ARSON,1,0.00011690437222352116
