year,district,primary_type,count
2002,02,PUBLIC PEACE VIOLATION,54
2002,02,ROBBERY,798
2002,02,SEX OFFENSE,57
2002,02,STALKING,4
2002,02,THEFT,2158
2002,02,WEAPONS VIOLATION,150
2002,03,ARSON,45
2002,03,ASSAULT,1911
2002,03,BATTERY,5671
2002,03,BURGLARY,1124
2002,03,CRIM SEXUAL ASSAULT,109
2002,03,CRIMINAL DAMAGE,2741
2002,03,CRIMINAL SEXUAL ASSAULT,2
2002,03,CRIMINAL TRESPASS,734
2002,03,DECEPTIVE PRACTICE,450
2002,03,GAMBLING,91
2002,03,HOMICIDE,37
2002,03,INTERFERENCE WITH PUBLIC OFFICER,14
2002,03,INTIMIDATION,15
2002,03,KIDNAPPING,38
2002,03,LIQUOR LAW VIOLATION,21
2002,03,MOTOR VEHICLE THEFT,1118
2002,03,NARCOTICS,2272
2002,03,OFFENSE INVOLVING CHILDREN,200
2002,03,OTHER NARCOTIC VIOLATION,1
2002,03,OTHER OFFENSE,1789
2002,03,PROSTITUTION,121
2002,03,PUBLIC INDECENCY,2
2002,03,PUBLIC PEACE VIOLATION,96
2002,03,ROBBERY,1121
2002,03,SEX OFFENSE,95
2002,03,STALKING,9
2002,03,THEFT,3521
2002,03,WEAPONS VIOLATION,192
2002,04,ARSON,50
2002,04,ASSAULT,2183
2002,04,BATTERY,5695
2002,04,BURGLARY,1239
2002,04,CRIM SEXUAL ASSAULT,106
2002,04,CRIMINAL DAMAGE,3728
2002,04,CRIMINAL SEXUAL ASSAULT,4
2002,04,CRIMINAL TRESPASS,662
2002,04,DECEPTIVE PRACTICE,482
2002,04,GAMBLING,23
2002,04,HOMICIDE,44
2002,04,INTERFERENCE WITH PUBLIC OFFICER,15
2002,04,INTIMIDATION,36
2002,04,KIDNAPPING,89
2002,04,LIQUOR LAW VIOLATION,55
2002,04,MOTOR VEHICLE THEFT,1374
2002,04,NARCOTICS,1956
2002,04,OBSCENITY,1
2002,04,OFFENSE INVOLVING CHILDREN,204
2002,04,OTHER OFFENSE,2001
2002,04,PROSTITUTION,91
2002,04,PUBLIC PEACE VIOLATION,115
2002,04,ROBBERY,1046
2002,04,SEX OFFENSE,99
2002,04,STALKING,15
2002,04,THEFT,4215
2002,04,WEAPONS VIOLATION,298
2002,05,ARSON,61
2002,05,ASSAULT,2030
2002,05,BATTERY,5622
2002,05,BURGLARY,1062
2002,05,CRIM SEXUAL ASSAULT,103
2002,05,CRIMINAL DAMAGE,2612
2002,05,CRIMINAL SEXUAL ASSAULT,3
2002,05,CRIMINAL TRESPASS,412
2002,05,DECEPTIVE PRACTICE,293
2002,05,GAMBLING,41
2002,05,HOMICIDE,32
2002,05,INTERFERENCE WITH PUBLIC OFFICER,18
2002,05,INTIMIDATION,27
2002,05,KIDNAPPING,50
2002,05,LIQUOR LAW VIOLATION,14
2002,05,MOTOR VEHICLE THEFT,835
2002,05,NARCOTICS,1947
2002,05,OFFENSE INVOLVING CHILDREN,162
2002,05,OTHER OFFENSE,1511
2002,05,PROSTITUTION,288
2002,05,PUBLIC PEACE VIOLATION,111
2002,05,ROBBERY,761
2002,05,SEX OFFENSE,110
2002,05,STALKING,12
2002,05,THEFT,2778
2002,05,WEAPONS VIOLATION,203
2002,06,ARSON,54
2002,06,ASSAULT,1821
2002,06,BATTERY,5376
2002,06,BURGLARY,1309
2002,06,CRIM SEXUAL ASSAULT,125
2002,06,CRIMINAL DAMAGE,2910
2002,06,CRIMINAL SEXUAL ASSAULT,2
2002,06,CRIMINAL TRESPASS,651
2002,06,DECEPTIVE PRACTICE,727
2002,06,GAMBLING,57
2002,06,HOMICIDE,39
2002,06,INTERFERENCE WITH PUBLIC OFFICER,17
2002,06,INTIMIDATION,19
2002,06,KIDNAPPING,65
2002,06,LIQUOR LAW VIOLATION,28
2002,06,MOTOR VEHICLE THEFT,1590
2002,06,NARCOTICS,1991
