dayofweek,district,primary_type,count,average
Friday,14,MOTOR VEHICLE THEFT,2860,0.3343465045592705
Friday,14,NARCOTICS,2551,0.29822305354220247
Friday,14,NON-CRIMINAL,1,0.00011690437222352116
Friday,14,OBSCENITY,5,0.0005845218611176058
Friday,14,OFFENSE INVOLVING CHILDREN,285,0.03331774608370353
Friday,14,OTHER OFFENSE,2319,0.27110123918634554
Friday,14,PROSTITUTION,675,0.07891045125087678
Friday,14,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,14,PUBLIC PEACE VIOLATION,261,0.030512041150339023
Friday,14,ROBBERY,1676,0.19593172784662147
Friday,14,SEX OFFENSE,187,0.021861117605798456
Friday,14,STALKING,30,0.0035071311667056347
Friday,14,THEFT,13886,1.6233341126958147
Friday,14,WEAPONS VIOLATION,349,0.040799625906008885
Friday,15,ARSON,94,0.01098901098901099
Friday,15,ASSAULT,3259,0.38099134907645543
Friday,15,BATTERY,10401,1.2159223754968436
Friday,15,BURGLARY,1699,0.19862052840776245
Friday,15,CONCEALED CARRY LICENSE VIOLATION,2,0.00023380874444704232
Friday,15,CRIM SEXUAL ASSAULT,184,0.021510404489127895
Friday,15,CRIMINAL DAMAGE,4279,0.500233808744447
Friday,15,CRIMINAL SEXUAL ASSAULT,51,0.005962122983399579
Friday,15,CRIMINAL TRESPASS,985,0.11515080664016834
Friday,15,DECEPTIVE PRACTICE,1451,0.1696282440963292
Friday,15,GAMBLING,329,0.038461538461538464
Friday,15,HOMICIDE,105,0.012274959083469721
Friday,15,INTERFERENCE WITH PUBLIC OFFICER,177,0.020692073883563245
Friday,15,INTIMIDATION,27,0.0031564180500350714
Friday,15,KIDNAPPING,53,0.0061959317278466215
Friday,15,LIQUOR LAW VIOLATION,85,0.009936871638999298
Friday,15,MOTOR VEHICLE THEFT,2101,0.24561608604161797
Friday,15,NARCOTICS,12876,1.5052606967500584
Friday,15,NON-CRIMINAL,3,0.00035071311667056346
Friday,15,OBSCENITY,3,0.00035071311667056346
Friday,15,OFFENSE INVOLVING CHILDREN,387,0.04524199205050269
Friday,15,OTHER OFFENSE,2914,0.34065934065934067
Friday,15,PROSTITUTION,479,0.05599719429506664
Friday,15,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,15,PUBLIC PEACE VIOLATION,315,0.036824877250409165
Friday,15,ROBBERY,2125,0.24842179097498246
